This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
I0502 14:57:46.319200 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319203 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319206 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319209 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319211 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319214 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319221 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319224 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319227 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319229 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319232 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319235 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319238 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319240 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319244 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319247 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319250 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319253 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319255 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319258 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319261 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319264 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319267 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319270 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319272 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
I0502 14:57:46.319275 31954791 ev_poll_posix.cc:593] FD from fork parent still in poll list: fd(17, generation: 1)
